time,symbol,type,entry,tp,sl,status,sent
2025-05-21 17:13:14.808549,BTC/USDT,buy,108862.06,108866.06,108859.56,pending,
2025-05-21 17:19:52.887387,US100,buy,21307.955078125,21371.878943359374,21265.33916796875,pending,
2025-05-21 17:20:14.907425,XAU/USD,sell,3311.39990234375,3304.7771025390625,3314.711302246093,pending,
2025-05-21 17:20:51.764166,XAU/USD,sell,3311.60009765625,3304.9768974609374,3314.911697753906,pending,
2025-05-21 17:21:14.376213,XAU/USD,sell,3311.89990234375,3305.2761025390623,3315.2118022460936,pending,
2025-05-21 17:21:39.450875,XAU/USD,sell,3312.39990234375,3305.7751025390626,3315.7123022460933,pending,
2025-05-21 17:22:02.956446,BTC/USDT,buy,108478.27,109020.66135,108207.074325,pending,
2025-05-21 17:22:24.579029,XAU/USD,sell,3312.800048828125,3306.1744487304686,3316.1128488769527,pending,
2025-05-21 17:22:58.779400,XAU/USD,sell,3311.89990234375,3305.2761025390623,3315.2118022460936,pending,
2025-05-21 17:23:20.584670,XAU/USD,sell,3312.60009765625,3305.9748974609374,3315.912697753906,pending,
2025-05-22 17:03:35.756016,BTC/USDT,sell,111240.56,111112.21225918828,111279.14210875308,pending,
2025-05-22 17:15:13.920625,BTC/USDT,buy,111373.17,111475.49503223019,111342.4104751599,pending,
